Source,Target,Label
ns:m.015glf,ns:m.01159vfc,ns:computer.programming_language.influenced_by
ns:m.015glf,ns:m.01hxzg,ns:computer.programming_language.influenced_by
ns:m.015glf,ns:m.03j_q,ns:computer.programming_language.influenced_by
ns:m.015glf,ns:m.0n3xv,ns:computer.programming_language.influenced_by
ns:m.015hl_,ns:m.01tlw,ns:computer.programming_language.influenced_by
ns:m.015hl_,ns:m.027kv60,ns:computer.programming_language.influenced_by
ns:m.015hl_,ns:m.01tlw,ns:computer.programming_language.parent_language
ns:m.015tjh,ns:m.054k6n_,ns:computer.programming_language.influenced
ns:m.015tjh,ns:m.0gjd0jv,ns:computer.programming_language.influenced
ns:m.015tjh,ns:m.0py1hbn,ns:computer.programming_language.influenced
ns:m.0172dd,ns:m.04kyw,ns:computer.programming_language.parent_language
ns:m.019p2,ns:g.120ldz4j,ns:computer.programming_language.influenced
ns:m.019p2,ns:g.122w61jw,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.012c64,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.01c2ld,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.01dpgv,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.0282msx,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.02_nh6,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.02ntyn_,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.02qnnlp,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.02r51yv,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.02tzjq,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.0340d7,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.04w43s,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.05zrn,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.06g3m,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.070m83,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.0br_h4s,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.0fl2d,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.0fp_1y,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.0ggn7,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.0vshxf6,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.0vztqsk,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.0w63482,ns:computer.programming_language.influenced
ns:m.019p2,ns:m.011k8l,ns:computer.programming_language.influenced_by
ns:m.019p2,ns:m.02_94,ns:computer.programming_language.influenced_by
ns:m.019p2,ns:m.0bbtm17,ns:computer.programming_language.influenced_by
ns:m.019p2,ns:m.0gdxqx,ns:computer.programming_language.influenced_by
ns:m.019p2,ns:m.0q1x,ns:computer.programming_language.influenced_by
ns:m.019p2,ns:m.01jpx_,ns:computer.programming_language.dialects
ns:m.019p2,ns:m.0671rd,ns:computer.programming_language.dialects
ns:m.019p2,ns:m.0fqrgs4,ns:computer.programming_language.dialects
ns:m.019p2,ns:m.0wrd,ns:computer.programming_language.dialects
ns:m.019p2,ns:m.04d9tq,ns:computer.programming_language.parent_language
ns:m.019p2,ns:m.06hd03,ns:computer.programming_language.parent_language
ns:m.019syg,ns:m.02qwj88,ns:computer.programming_language.influenced
ns:m.019syg,ns:m.03f__t,ns:computer.programming_language.influenced
ns:m.019syg,ns:m.05p8z6f,ns:computer.programming_language.influenced
ns:m.019syg,ns:m.01t6b,ns:computer.programming_language.influenced_by
ns:m.019syg,ns:m.02vmqtb,ns:computer.programming_language.influenced_by
ns:m.019syg,ns:m.05z1_,ns:computer.programming_language.influenced_by
ns:m.019syg,ns:m.05zrn,ns:computer.programming_language.influenced_by
ns:m.019syg,ns:m.06zrb,ns:computer.programming_language.influenced_by
ns:m.019syg,ns:m.07sbkfb,ns:computer.programming_language.influenced_by
ns:m.019syg,ns:m.0gd42,ns:computer.programming_language.influenced_by
ns:m.019syg,ns:m.0kf72,ns:computer.programming_language.influenced_by
ns:m.019syg,ns:m.0q2c,ns:computer.programming_language.influenced_by
ns:m.019syg,ns:g.122x30ld,ns:computer.programming_language.dialects
ns:m.019syg,ns:m.01n3qp,ns:computer.programming_language.dialects
ns:m.019syg,ns:m.02ky6z,ns:computer.programming_language.dialects
ns:m.019syg,ns:m.02p97,ns:computer.programming_language.dialects
ns:m.019syg,ns:m.02plr7q,ns:computer.programming_language.dialects
ns:m.019syg,ns:m.03f__t,ns:computer.programming_language.dialects
ns:m.019syg,ns:m.05z3dws,ns:computer.programming_language.dialects
ns:m.019syg,ns:m.02p97,ns:computer.programming_language.parent_language
ns:m.019wx,ns:m.01fk4,ns:computer.programming_language.influenced
ns:m.019wx,ns:m.01t6b,ns:computer.programming_language.influenced
ns:m.019wx,ns:m.063_3xr,ns:computer.programming_language.influenced
ns:m.019wx,ns:m.0fl2d,ns:computer.programming_language.influenced
ns:m.019wx,ns:m.03ff_9,ns:computer.programming_language.influenced_by
ns:m.01_1zc,ns:m.029rvn,ns:computer.programming_language.influenced_by
ns:m.01_1zc,ns:m.05y49,ns:computer.programming_language.influenced_by
ns:m.01b5hv,ns:m.02f70,ns:computer.programming_language.influenced
ns:m.01b5hv,ns:m.0bm90n,ns:computer.programming_language.influenced
ns:m.01b5hv,ns:m.0ghmfk,ns:computer.programming_language.influenced
ns:m.01b5hv,ns:m.01tlw,ns:computer.programming_language.influenced_by
ns:m.01b5hv,ns:m.04kyw,ns:computer.programming_language.influenced_by
ns:m.01b5hv,ns:m.070d2,ns:computer.programming_language.influenced_by
ns:m.01b5k,ns:m.028dzm,ns:computer.programming_language.influenced_by
ns:m.01b5k,ns:m.06ypf2,ns:computer.programming_language.influenced_by
ns:m.01b5k,ns:m.0dg7746,ns:computer.programming_language.dialects
ns:m.01b5k,ns:m.0dg778l,ns:computer.programming_language.dialects
ns:m.01b5k,ns:m.06ypf2,ns:computer.programming_language.parent_language
ns:m.01c2ld,ns:m.019p2,ns:computer.programming_language.influenced_by
ns:m.01c2ld,ns:m.05y49,ns:computer.programming_language.influenced_by
ns:m.01cf8d,ns:m.06016,ns:computer.programming_language.influenced
ns:m.01dpgv,ns:m.019p2,ns:computer.programming_language.influenced_by
ns:m.01dpgv,ns:m.01jt82,ns:computer.programming_language.influenced_by
ns:m.01dpgv,ns:m.03j_q,ns:computer.programming_language.influenced_by
ns:m.01dpgv,ns:m.0fp_1y,ns:computer.programming_language.influenced_by
ns:m.01dpgv,ns:m.04ygytb,ns:computer.programming_language.dialects
ns:m.01fk4,ns:m.01t6b,ns:computer.programming_language.influenced
ns:m.01fk4,ns:m.019wx,ns:computer.programming_language.influenced_by
ns:m.01fk4,ns:m.05xjv,ns:computer.programming_language.influenced_by
ns:m.01fln6,ns:m.07sbkfb,ns:computer.programming_language.influenced_by
ns:m.01fln6,ns:m.0fp_1y,ns:computer.programming_language.influenced_by
ns:m.01grf1,ns:m.0222b,ns:computer.programming_language.influenced
ns:m.01grf1,ns:m.04f41y,ns:computer.programming_language.influenced
ns:m.01grf1,ns:m.0c_knm,ns:computer.programming_language.influenced
ns:m.01grf1,ns:m.0q1x,ns:computer.programming_language.influenced_by
ns:m.01h67x,ns:m.0csw7l,ns:computer.programming_language.influenced
ns:m.01hxzg,ns:m.015glf,ns:computer.programming_language.influenced
ns:m.01hxzg,ns:m.03j_q,ns:computer.programming_language.influenced
ns:m.01hxzg,ns:m.04qxmx,ns:computer.programming_language.influenced
ns:m.01hxzg,ns:m.0555r6,ns:computer.programming_language.influenced
ns:m.01hxzg,ns:m.055mc,ns:computer.programming_language.influenced
ns:m.01hxzg,ns:m.0n3xv,ns:computer.programming_language.influenced
ns:m.01hxzg,ns:m.04kyw,ns:computer.programming_language.influenced_by
ns:m.01hxzg,ns:m.0bbtm17,ns:computer.programming_language.influenced_by
ns:m.01j9gq,ns:m.06ds0_,ns:computer.programming_language.influenced
ns:m.01j9gq,ns:m.09gbxjr,ns:computer.programming_language.influenced
ns:m.01j9gq,ns:m.0dsbpg6,ns:computer.programming_language.influenced
ns:m.01j9gq,ns:m.01ksbf,ns:computer.programming_language.influenced_by
ns:m.01j9gq,ns:m.01t6b,ns:computer.programming_language.influenced_by
ns:m.01j9gq,ns:m.05y49,ns:computer.programming_language.influenced_by
ns:m.01j9gq,ns:m.067916,ns:computer.programming_language.influenced_by
ns:m.01j9gq,ns:m.09gdqsb,ns:computer.programming_language.influenced_by
ns:m.01jm0,ns:m.0gh8h6w,ns:computer.programming_language.influenced
ns:m.01jpx_,ns:m.0fp_1y,ns:computer.programming_language.influenced_by
ns:m.01jpx_,ns:m.019p2,ns:computer.programming_language.parent_language
ns:m.01jt82,ns:m.01dpgv,ns:computer.programming_language.influenced
ns:m.01jt82,ns:m.0_l9rcz,ns:computer.programming_language.influenced
ns:m.01jt82,ns:m.0ncc1sv,ns:computer.programming_language.influenced
ns:m.01jt82,ns:m.0ql079r,ns:computer.programming_language.influenced
ns:m.01jt82,ns:m.02mm3,ns:computer.programming_language.influenced_by
ns:m.01jt82,ns:m.03j_q,ns:computer.programming_language.influenced_by
ns:m.01jt82,ns:m.055mc,ns:computer.programming_language.influenced_by
ns:m.01jt82,ns:m.05z1_,ns:computer.programming_language.influenced_by
ns:m.01jt82,ns:m.07657k,ns:computer.programming_language.influenced_by
ns:m.01jt82,ns:m.076kx1,ns:computer.programming_language.influenced_by
ns:m.01jt82,ns:m.091hdj,ns:computer.programming_language.influenced_by
ns:m.01jt82,ns:m.055mc,ns:computer.programming_language.parent_language
ns:m.01k159,ns:m.012vxsb4,ns:computer.programming_language.influenced
ns:m.01k159,ns:m.02vhb8,ns:computer.programming_language.influenced
ns:m.01k159,ns:m.03ccyjs,ns:computer.programming_language.influenced
ns:m.01k159,ns:m.05z1_,ns:computer.programming_language.influenced
ns:m.01k159,ns:m.07657k,ns:computer.programming_language.influenced
ns:m.01k159,ns:m.076kx1,ns:computer.programming_language.influenced
ns:m.01k159,ns:m.07sbkfb,ns:computer.programming_language.influenced
ns:m.01k159,ns:m.0bgnn8,ns:computer.programming_language.influenced
ns:m.01k159,ns:m.0vpk27_,ns:computer.programming_language.influenced
ns:m.01k159,ns:m.0267bm6,ns:computer.programming_language.influenced_by
ns:m.01k159,ns:m.05mrv,ns:computer.programming_language.influenced_by
ns:m.01k159,ns:m.05y49,ns:computer.programming_language.influenced_by
ns:m.01k159,ns:m.0kzb_,ns:computer.programming_language.influenced_by
ns:m.01k159,ns:m.0q1x,ns:computer.programming_language.influenced_by
ns:m.01kbt7,ns:m.010pkn7n,ns:computer.programming_language.influenced
ns:m.01kbt7,ns:m.010sd4y3,ns:computer.programming_language.influenced
ns:m.01kbt7,ns:m.02qwj88,ns:computer.programming_language.influenced
ns:m.01kbt7,ns:m.02wz_qj,ns:computer.programming_language.influenced
ns:m.01kbt7,ns:m.09k75js,ns:computer.programming_language.influenced
ns:m.01kbt7,ns:m.01t6b,ns:computer.programming_language.influenced_by
ns:m.01kbt7,ns:m.02p6w,ns:computer.programming_language.influenced_by
ns:m.01kbt7,ns:m.05z1_,ns:computer.programming_language.influenced_by
ns:m.01kbt7,ns:m.06ff5,ns:computer.programming_language.influenced_by
ns:m.01kbt7,ns:m.07657k,ns:computer.programming_language.influenced_by
ns:m.01kbt7,ns:m.07sbkfb,ns:computer.programming_language.influenced_by
ns:m.01kbt7,ns:m.0jgqg,ns:computer.programming_language.influenced_by
ns:m.01ksbf,ns:m.01j9gq,ns:computer.programming_language.influenced
ns:m.01ksbf,ns:m.026221b,ns:computer.programming_language.influenced
ns:m.01ksbf,ns:m.05p0d,ns:computer.programming_language.influenced
ns:m.01ksbf,ns:m.069sx3,ns:computer.programming_language.influenced
ns:m.01ksbf,ns:m.09gdqsb,ns:computer.programming_language.influenced
ns:m.01ksbf,ns:m.09gqld2,ns:computer.programming_language.influenced
ns:m.01m1y8,ns:m.026_3pk,ns:computer.programming_language.influenced
ns:m.01m1y8,ns:m.03c2d7t,ns:computer.programming_language.influenced
ns:m.01m1y8,ns:m.091hdj,ns:computer.programming_language.influenced
ns:m.01m1y8,ns:m.0bs2s4,ns:computer.programming_language.influenced
ns:m.01m1y8,ns:m.05vpz,ns:computer.programming_language.influenced_by
ns:m.01m1y8,ns:m.073c35,ns:computer.programming_language.dialects
ns:m.01n3qp,ns:m.03f__t,ns:computer.programming_language.influenced
ns:m.01n3qp,ns:m.02p97,ns:computer.programming_language.influenced_by
ns:m.01n3qp,ns:m.019syg,ns:computer.programming_language.parent_language
ns:m.01n3qp,ns:m.02p97,ns:computer.programming_language.parent_language
ns:m.01nkh5,ns:m.01qplz,ns:computer.programming_language.influenced
ns:m.01nxv3,ns:m.01zpg,ns:computer.programming_language.influenced_by
ns:m.01nxv3,ns:m.05q31,ns:computer.programming_language.influenced_by
ns:m.01nxv3,ns:m.075st,ns:computer.programming_language.influenced_by
ns:m.01nxv3,ns:m.07sbkfb,ns:computer.programming_language.influenced_by
ns:m.01p8vv,ns:m.01tlw,ns:computer.programming_language.influenced_by
ns:m.01p8vv,ns:m.02f70,ns:computer.programming_language.influenced_by
ns:m.01p8vv,ns:m.05c5dj,ns:computer.programming_language.influenced_by
ns:m.01p8vv,ns:m.070d2,ns:computer.programming_language.influenced_by
ns:m.01p8vv,ns:m.0gd42,ns:computer.programming_language.influenced_by
ns:m.01q7b0,ns:m.09f4b_,ns:computer.programming_language.influenced
ns:m.01q7b0,ns:m.0c1_l,ns:computer.programming_language.influenced_by
ns:m.01qplz,ns:m.01nkh5,ns:computer.programming_language.influenced_by
ns:m.01qplz,ns:m.02p6w,ns:computer.programming_language.influenced_by
ns:m.01qplz,ns:m.0n6y,ns:computer.programming_language.influenced_by
ns:m.01qplz,ns:m.0n6y,ns:computer.programming_language.parent_language
ns:m.01s0p2,ns:m.03j_q,ns:computer.programming_language.influenced_by
ns:m.01s432,ns:m.04kyw,ns:computer.programming_language.influenced
ns:m.01s_63,ns:m.0hndcvk,ns:computer.programming_language.influenced
ns:m.01s_63,ns:m.04jpg89,ns:computer.programming_language.influenced_by
ns:m.01s_63,ns:m.075st,ns:computer.programming_language.influenced_by
ns:m.01s_63,ns:m.087l8,ns:computer.programming_language.influenced_by
ns:m.01szng,ns:m.05xjv,ns:computer.programming_language.influenced_by
ns:m.01szng,ns:m.05xjv,ns:computer.programming_language.parent_language
ns:m.01t6b,ns:g.120ldz4j,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.019syg,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.01j9gq,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.01kbt7,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.01zzd8,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.02jnyh,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.02npry,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.02p97,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.02r51yv,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.02wz_qj,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.033jmv,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0340d7,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.03gxzs,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.03h9tz,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.03m5s2,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.03nk21,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.03pxm2,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.03r1wd,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.03s8dh,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0428xx,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.042vg5,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.047r16w,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.04yf9ks,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0508gj,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0521z,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.05c2cjz,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.05gb7t,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.05q31,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.05tthtg,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.05zrn,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.060kv,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.063yy4c,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.067916,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.069g7,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.069mz0,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.06mmmy,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.06svrt,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.06z3b2,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.07657k,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.07sbkfb,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.08yy56,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.09gbxjr,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.09gdqsb,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.09kns0,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.09sj9r,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0bgnn8,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0ddg_p_,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0dndhc,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0dsbpg6,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0fs5n,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0gh50t7,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0gh8h6w,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0gsfll,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0h3vb,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0j3djl7,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0jgqg,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0k3n166,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0lxk7,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0q2c,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0vshxf6,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0wyrdhm,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0x21wvz,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0y51ypv,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.0zc0qfm,ns:computer.programming_language.influenced
ns:m.01t6b,ns:m.019wx,ns:computer.programming_language.influenced_by
ns:m.01t6b,ns:m.01fk4,ns:computer.programming_language.influenced_by
ns:m.01t6b,ns:m.02_94,ns:computer.programming_language.influenced_by
ns:m.01t6b,ns:m.0338k6,ns:computer.programming_language.influenced_by
ns:m.01t6b,ns:m.03ff_9,ns:computer.programming_language.influenced_by
ns:m.01t6b,ns:m.05xjv,ns:computer.programming_language.influenced_by
ns:m.01t6b,ns:m.063yy4c,ns:computer.programming_language.influenced_by
ns:m.01t6b,ns:m.0bbtm17,ns:computer.programming_language.influenced_by
ns:m.01t6b,ns:m.0gdxqx,ns:computer.programming_language.influenced_by
ns:m.01t6b,ns:m.0p8g,ns:computer.programming_language.influenced_by
ns:m.01t6b,ns:m.0q1x,ns:computer.programming_language.influenced_by
ns:m.01t6b,ns:m.024v8,ns:computer.programming_language.dialects
ns:m.01t6b,ns:m.03gbmp,ns:computer.programming_language.dialects
ns:m.01t6b,ns:m.03s8dh,ns:computer.programming_language.dialects
ns:m.01t6b,ns:m.0428xx,ns:computer.programming_language.dialects
ns:m.01t6b,ns:m.042vgj,ns:computer.programming_language.dialects
ns:m.01t6b,ns:m.05q31,ns:computer.programming_language.dialects
ns:m.01t6b,ns:m.0dndhc,ns:computer.programming_language.dialects
ns:m.01t6b,ns:m.0jgqg,ns:computer.programming_language.dialects
ns:m.01t8hq,ns:m.04zzxjs,ns:computer.programming_language.influenced
ns:m.01t8hq,ns:m.0q1d,ns:computer.programming_language.influenced_by
ns:m.01tlw,ns:m.015hl_,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.01b5hv,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.01p8vv,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.0212jm,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.02f70,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.02qqkg9,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.02tgs,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.03yb8hb,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.042v6x,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.05hn2y,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.069gh5,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.073yv,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.07sbkfb,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.0_82v0s,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.0bm90n,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.0ghmfk,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.0gzl9z,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.0j3djl7,ns:computer.programming_language.influenced
ns:m.01tlw,ns:m.01xxttx,ns:computer.programming_language.influenced_by
ns:m.01tlw,ns:m.01zl2k,ns:computer.programming_language.influenced_by
ns:m.01tlw,ns:m.04kyw,ns:computer.programming_language.influenced_by
ns:m.01tlw,ns:m.06zrb,ns:computer.programming_language.influenced_by
ns:m.01tlw,ns:m.0cvc9,ns:computer.programming_language.influenced_by
ns:m.01tlw,ns:m.0cvcp,ns:computer.programming_language.influenced_by
ns:m.01tlw,ns:m.0q1d,ns:computer.programming_language.influenced_by
ns:m.01tlw,ns:m.015hl_,ns:computer.programming_language.dialects
ns:m.01tlw,ns:m.02qqkg9,ns:computer.programming_language.dialects
ns:m.01tlw,ns:m.05hn2y,ns:computer.programming_language.dialects
ns:m.01tlw,ns:m.06n6zl,ns:computer.programming_language.dialects
ns:m.01tlw,ns:m.04kyw,ns:computer.programming_language.parent_language
ns:m.01tlw,ns:m.0q1x,ns:computer.programming_language.parent_language
ns:m.01vtm2,ns:m.02qwj88,ns:computer.programming_language.influenced
ns:m.01vtm2,ns:m.02w_5j4,ns:computer.programming_language.influenced
ns:m.01vtm2,ns:m.04ybtsc,ns:computer.programming_language.influenced
ns:m.01vtm2,ns:m.0fpgc8s,ns:computer.programming_language.influenced
ns:m.01vtm2,ns:m.0h64wm7,ns:computer.programming_language.influenced
ns:m.01vtm2,ns:m.0x21wvz,ns:computer.programming_language.influenced
ns:m.01vtm2,ns:m.04kyw,ns:computer.programming_language.influenced_by
ns:m.01vtm2,ns:m.05z1_,ns:computer.programming_language.influenced_by
ns:m.01vtm2,ns:m.070d2,ns:computer.programming_language.influenced_by
ns:m.01vtm2,ns:m.0chpd,ns:computer.programming_language.influenced_by
ns:m.01vtm2,ns:m.0gd42,ns:computer.programming_language.influenced_by
ns:m.01vtm2,ns:m.0gfwm,ns:computer.programming_language.influenced_by
ns:m.01xrt9x,ns:m.0kzb_,ns:computer.programming_language.parent_language
ns:m.01xrtb3,ns:m.0kzb_,ns:computer.programming_language.parent_language
ns:m.01xrtb_,ns:m.050f_,ns:computer.programming_language.influenced_by
ns:m.01xrtbb,ns:m.0kzb_,ns:computer.programming_language.parent_language
ns:m.01xrtbk,ns:m.0kzb_,ns:computer.programming_language.parent_language
ns:m.01xrtj2,ns:m.02_94,ns:computer.programming_language.parent_language
ns:m.01xrtj9,ns:m.02_94,ns:computer.programming_language.parent_language
ns:m.01xrtjj,ns:m.02_94,ns:computer.programming_language.parent_language
ns:m.01xrtjr,ns:m.02_94,ns:computer.programming_language.parent_language
